CNT;TEMP;PRES;resitance
12831;11,65;1254,70;3696
12832;11,65;1254,29;3685
12833;11,62;1254,51;3691
12834;11,62;1254,78;3679
12835;11,62;1254,51;3723
12836;11,65;1254,42;3710
12837;11,62;1254,51;3659
12838;11,62;1254,37;3697
12839;11,62;1254,10;3729
12840;11,65;1254,83;3578
12841;11,62;1255,32;3730
12842;11,62;1254,23;3760
12843;11,65;1254,29;3717
12844;11,62;1254,91;3712
12845;11,65;1255,24;3749
12846;11,65;1254,56;3755
12847;11,62;1254,51;3732
12848;11,65;1254,42;3758
12849;11,65;1254,29;3751
12850;11,65;1254,42;3735
12851;11,62;1254,51;3726
12852;11,65;1254,83;3713
12853;11,65;1254,97;3731
12854;11,65;1254,83;3731
12855;11,65;1254,70;3728
12856;11,65;1254,83;3742
12857;11,62;1254,78;3719
12858;11,65;1254,70;3758
12859;11,62;1254,10;3744
12860;11,65;1254,42;3715
